city_market,total,phones_count,phones_pct,website_count,website_pct,email_count,email_pct,social_count,social_pct,facebook_count,facebook_pct,instagram_count,instagram_pct,whatsapp_count,whatsapp_pct,youtube_count,youtube_pct,tiktok_count,tiktok_pct,linkedin_count,linkedin_pct,telegram_count,telegram_pct,twitter_count,twitter_pct,pinterest_count,pinterest_pct,vk_count,vk_pct,viber_count,viber_pct,open_count,open_pct,closed_count,closed_pct,open_other_count,open_other_pct,working_hours_fill_pct,coords_ok_pct
București,1580,1477,93.48,596,37.72,360,22.78,658,41.65,496,31.39,388,24.56,142,8.99,93,5.89,121,7.66,11,0.7,0,0.0,45,2.85,40,2.53,0,0.0,0,0.0,1422,90.0,0,0.0,158,10.0,90.0,0.0
Cluj-Napoca,568,501,88.2,117,20.6,66,11.62,172,30.28,133,23.42,90,15.85,11,1.94,13,2.29,9,1.58,3,0.53,0,0.0,8,1.41,5,0.88,0,0.0,0,0.0,467,82.22,0,0.0,101,17.78,82.22,0.0
Iași,509,435,85.46,84,16.5,46,9.04,140,27.5,115,22.59,54,10.61,12,2.36,5,0.98,15,2.95,2,0.39,0,0.0,2,0.39,2,0.39,0,0.0,0,0.0,431,84.68,0,0.0,78,15.32,84.68,0.0
Brașov,488,417,85.45,61,12.5,28,5.74,116,23.77,86,17.62,45,9.22,14,2.87,6,1.23,5,1.02,1,0.2,0,0.0,2,0.41,2,0.41,0,0.0,0,0.0,402,82.38,0,0.0,86,17.62,82.38,0.0
Timișoara,478,427,89.33,99,20.71,60,12.55,128,26.78,106,22.18,51,10.67,21,4.39,18,3.77,15,3.14,4,0.84,0,0.0,6,1.26,4,0.84,0,0.0,0,0.0,413,86.4,0,0.0,65,13.6,86.4,0.0
Constanța,450,397,88.22,62,13.78,35,7.78,99,22.0,72,16.0,50,11.11,7,1.56,5,1.11,5,1.11,1,0.22,0,0.0,2,0.44,1,0.22,0,0.0,0,0.0,367,81.56,0,0.0,83,18.44,81.56,0.0
Craiova,377,290,76.92,31,8.22,18,4.77,60,15.92,46,12.2,15,3.98,4,1.06,3,0.8,1,0.27,0,0.0,0,0.0,1,0.27,0,0.0,0,0.0,0,0.0,273,72.41,0,0.0,104,27.59,72.41,0.0
Oradea,329,246,74.77,28,8.51,21,6.38,75,22.8,51,15.5,32,9.73,3,0.91,4,1.22,7,2.13,0,0.0,0,0.0,7,2.13,0,0.0,0,0.0,0,0.0,239,72.64,0,0.0,90,27.36,72.64,0.0
Pitești,308,254,82.47,38,12.34,21,6.82,65,21.1,50,16.23,19,6.17,14,4.55,5,1.62,3,0.97,0,0.0,0,0.0,1,0.32,0,0.0,0,0.0,0,0.0,232,75.32,0,0.0,76,24.68,75.32,0.0
Galați,290,224,77.24,27,9.31,11,3.79,59,20.34,51,17.59,17,5.86,4,1.38,1,0.34,2,0.69,0,0.0,0,0.0,1,0.34,0,0.0,0,0.0,0,0.0,214,73.79,0,0.0,76,26.21,73.79,0.0
Sibiu,283,243,85.87,44,15.55,21,7.42,70,24.73,54,19.08,32,11.31,10,3.53,3,1.06,9,3.18,0,0.0,0,0.0,3,1.06,1,0.35,0,0.0,0,0.0,233,82.33,0,0.0,50,17.67,82.33,0.0
Ploiești,266,204,76.69,28,10.53,14,5.26,47,17.67,34,12.78,19,7.14,5,1.88,4,1.5,5,1.88,0,0.0,0,0.0,1,0.38,0,0.0,0,0.0,0,0.0,195,73.31,0,0.0,71,26.69,73.31,0.0
Arad,246,182,73.98,17,6.91,7,2.85,57,23.17,46,18.7,19,7.72,5,2.03,4,1.63,7,2.85,0,0.0,0,0.0,1,0.41,2,0.81,0,0.0,0,0.0,189,76.83,0,0.0,57,23.17,76.83,0.0
Suceava,189,144,76.19,22,11.64,7,3.7,42,22.22,33,17.46,13,6.88,3,1.59,3,1.59,5,2.65,0,0.0,0,0.0,3,1.59,0,0.0,0,0.0,0,0.0,142,75.13,0,0.0,47,24.87,75.13,0.0
Brăila,147,113,76.87,17,11.56,6,4.08,32,21.77,27,18.37,14,9.52,1,0.68,0,0.0,1,0.68,0,0.0,0,0.0,2,1.36,0,0.0,0,0.0,0,0.0,112,76.19,0,0.0,35,23.81,76.19,0.0
Șelimbăr,45,43,95.56,12,26.67,7,15.56,19,42.22,14,31.11,9,20.0,2,4.44,1,2.22,2,4.44,0,0.0,0,0.0,1,2.22,0,0.0,0,0.0,0,0.0,39,86.67,0,0.0,6,13.33,86.67,0.0
Dumbrăvița,23,20,86.96,3,13.04,2,8.7,10,43.48,7,30.43,6,26.09,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,82.61,0,0.0,4,17.39,82.61,0.0
Florești,20,18,90.0,9,45.0,4,20.0,9,45.0,9,45.0,3,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0,1,5.0,0,0.0,0,0.0,18,90.0,0,0.0,2,10.0,90.0,0.0
Valea Lupului,13,12,92.31,1,7.69,1,7.69,7,53.85,7,53.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,84.62,0,0.0,2,15.38,84.62,0.0
Giroc,12,11,91.67,3,25.0,2,16.67,5,41.67,4,33.33,2,16.67,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,75.0,0,0.0,3,25.0,75.0,0.0
